learnable	type	translation	authoritative	is_regex
грати	verb	to play (sports, instruments)	1	0
дати	verb	to give	1	0
замовити	verb	to order (restaurant)	1	0
звати	verb	to call (someone)	1	0
знайти	verb	to find	1	0
їсти	verb	to eat	1	0
іти	verb	to go (by foot)	1	0
їхати	verb	to go (by transportation)	1	0
коштувати	verb	to cost	1	0
купити	verb	to buy	1	0
любите	verb	to love	1	0
мати	verb	to have	1	0
могти	verb	to be able to (can)	1	0
писати	verb	to write	1	0
пити	verb	to drink	1	0
подорожувати	verb	to travel	1	0
покажіти	verb	to show	1	0
поміряти	verb	to try on, to measure	1	0
принести	verb	to bring	1	0
робити	verb	to do	1	0
роботи	verb	to work	1	0
співати	verb	to sing	1	0
танцювати	verb	to dance	1	0
треба	verb	need (to be needed by)	1	0
фотографувати	verb	to photograph	1	0
хотіти	verb	to want	1	0
читати	verb	to read	1	0
немає	adverb	no, none, no, there isn't, there is no	1	0
вибачте	interjection	sorry	1	0
це			1	0
п'ю			1	0
там			1	0
не			1	0
п'єте			1	0
батько			1	0
я			1	0
сім'я			1	0
сік			1	0
фонтан			1	0
брати			1	0
а			1	0
м'ясо			1	0
мої			1	0
молоко			1	0
сестра			1	0
чия			1	0
фото			1	0
але			1	0
моя			1	0
любите			1	0
мати			1	0
мій			1	0
він			1	0
вони			1	0
тут			1	0
моє			1	0
люблю			1	0
батьки			1	0
ви			1	0
і			1	0
хліб			1	0
чиї			1	0
мед			1	0
ми			1	0
дім			1	0
сіль			1	0
сад			1	0
студенти			1	0
чоловік			1	0
тітка			1	0
донька			1	0
де			1	0
їсте			1	0
їм			1	0
чай			1	0
чий			1	0
син			1	0
ні			1	0
мама			1	0
та			1	0
хто			1	0
тома			1	0
тато			1	0
так			1	0
дід			1	0
гривень			1	0
іти			1	0
тролейбус			1	0
завтра			1	0
три			1	0
скільки			1	0
дуже			1	0
шістсот			1	0
питання			1	0
дві тисячі			1	0
тисяч			1	0
квиток			1	0
один мільйон			1	0
влітку			1	0
ти			1	0
номер			1	0
у			1	0
жарко			1	0
куди			1	0
жарко			1	0
студентка			1	0
вона			1	0
їй			1	0
йому			1	0
дякую			1	0
сьогодні			1	0
мені			1	0
один			1	0
її			1	0
щось			1	0
нам			1	0
купити			1	0
що			1	0
мені треба			1	0
холодно			1	0
треба			1	0
хлопець			1	0
вам			1	0
тобі треба			1	0
подруга			1	0
двадцять один			1	0
ваш			1	0
провідник			1	0
рейс			1	0
багаж			1	0
ваша			1	0
тринадцять			1	0
на			1	0
зараз			1	0
купе			1	0
місце			1	0
вибачте			1	0
двадцять			1	0
розклад			1	0
година			1	0
двадцять три			1	0
п'ятсот			1	0
сімсот			1	0
триста			1	0
п'ять тисяч			1	0
це коштує			1	0
долар			1	0
долари			1	0
двісті			1	0
одна тисяча			1	0
тридцять одна			1	0
чотириста			1	0
гривня			1	0
доларів			1	0
сто тисяч			1	0
нарешті			1	0
щось			1	0
багато			1	0
без			1	0
вино			1	0
ще не			1	0
бабуся			1	0
обід			1	0
лист			1	0
бізнес			1	0
ринок			1	0
коли			1	0
випив			1	0
обміняти			1	0
приготувала			1	0
кар'єра			1	0
банкомати			1	0
реклама			1	0
вип'єш			1	0
банкомат			1	0
реклами			1	0
машини			1	0
євро			1	0
вчора			1	0
гроші			1	0
чому			1	0
можливо			1	0
персонал			1	0
немає			1	0
призначили			1	0
продав			1	0
бізнесі			1	0
скасували			1	0
скасувати			1	0
ціни			1	0
плачу			1	0
платили			1	0
кафе			1	0
досвід роботи			1	0
презентація			1	0
з			1	0
плани			1	0
бюджетом			1	0
проблеми			1	0
неурядові			1	0
зустріч			1	0
візитка			1	0
валюту			1	0
як			1	0
писати			1	0
ресурси			1	0
резюме			1	0
в			1	0
збори			1	0
інтерв'ю			1	0
понеділок			1	0
рекламує			1	0
бізнес-план			1	0
часто			1	0
дощ			1	0
машина			1	0
про			1	0
вітер			1	0
холодно			1	0
ці			1	0
сонце			1	0
карпати			1	0
літак			1	0
ніколи не			1	0
чи			1	0
його			1	0
кіно			1	0
виставка			1	0
читач			1	0
на автобусі			1	0
транспорт			1	0
на літаку			1	0
метро			1	0
на маршрутці			1	0
таксі			1	0
маршрутка			1	0
є			1	0
восени			1	0
у середу			1	0
робити			1	0
у п’ятницю			1	0
середа			1	0
суп			1	0
готувати			1	0
взимку			1	0
у вівторок			1	0
четвер			1	0
у четвер			1	0
у понеділок			1	0
з ким			1	0
дядьком			1	0
їхати			1	0
друг			1	0
пізніше			1	0
танцювати			1	0
післязавтра			1	0
вдома			1	0
друзі			1	0
дівчина			1	0
добре			1	0
скоро			1	0
час			1	0
як довго			1	0
звідки			1	0
молодь			1	0
шорти			1	0
одяг			1	0
співати			1	0
взуття			1	0
братом			1	0
поверх			1	0
вареники			1	0
березень			1	0
грудень			1	0
липень			1	0
лютий			1	0
жовтень			1	0
січень			1	0
квітень			1	0
вересень			1	0
осінь			1	0
червень			1	0
листопад			1	0
травень			1	0
серпень			1	0
літо			1	0
туфлі			1	0
розмір			1	0
поміряти			1	0
пальто			1	0
у вас є			1	0
шарф			1	0
кросівки			1	0
можна			1	0
просто			1	0
онука			1	0
люди			1	0
коментар			1	0
телевізор			1	0
листи			1	0
читати			1	0
баскетбол			1	0
дайте			1	0
тобі			1	0
будь ласка			1	0
чоботи			1	0
ось			1	0
п'ять			1	0
вода			1	0
ніж			1	0
сестри			1	0
карі			1	0
вуса			1	0
на зріст			1	0
актриса			1	0
волосся			1	0
грати у			1	0
на вокзалі			1	0
футбол			1	0
радіо			1	0
у мене є			1	0
подорож			1	0
блог			1	0
борщ			1	0
візит			1	0
офіціантка			1	0
принесіть			1	0
замовити			1	0
рахунок			1	0
офіціант			1	0
вегетаріанець			1	0
вегетаріанка			1	0
туалет			1	0
м'яса			1	0
машини			1	0
кави			1	0
риби			1	0
сестри			1	0
лимону			1	0
їсти			1	0
без цукру			1	0
у мене немає			1	0
води			1	0
кава			1	0
у вас немає			1	0
сина			1	0
брата			1	0
брат			1	0
шахи			1	0
мамою			1	0
другом			1	0
теніс			1	0
піаніно			1	0
сестрою			1	0
грати на			1	0
з цукром			1	0
батьком			1	0
подорожувати			1	0
подругою			1	0
сало			1	0
їжа			1	0
дешево			1	0
на вечерю			1	0
сир			1	0
макарони			1	0
десерт			1	0
яйця			1	0
масло			1	0
ковбаса			1	0
майонез			1	0
кашу			1	0
ваші			1	0
піцу			1	0
вечеря			1	0
салат			1	0
сніданок			1	0
ковбасу			1	0
котра			1	0
день			1	0
дизайнер			1	0
віктор			1	0
продавець			1	0
лікар			1	0
пенсіонерка			1	0
актор			1	0
пенсіонер			1	0
робота			1	0
інженер			1	0
секретарка			1	0
вебдизайн			1	0
бігати			1	0
письменник			1	0
історія			1	0
театр			1	0
спорт			1	0
машини			1	0
хобі			1	0
компьютери			1	0
молодший			1	0
онук			1	0
старша			1	0
старший			1	0
молодша			1	0
миша			1	0
ведмідь			1	0
тварина			1	0
слон			1	0
заєць			1	0
свиня			1	0
п'є молоко			1	0
кінь			1	0
птах			1	0
павук			1	0
добрий ранок			1	0
мене звати			1	0
вас звуть			1	0
мені теж			1	0
вас звати			1	0
добрий день			1	0
тебе звуть			1	0
як справи?			1	0
добрий вечір			1	0
дуже приємно			1	0
так собі			1	0
привіт			1	0
погано			1	0
село			1	0
чиє			1	0
шапка			1	0
пити			1	0
телефон			1	0
теж			1	0
студент			1	0
на пошті			1	0
дівчата			1	0
населення			1	0
діти			1	0
людина			1	0
тридцять			1	0
сніг			1	0
на півдні			1	0
програміст			1	0
журналістка			1	0
журналіст			1	0
весела			1	0
розумні			1	0
слабка			1	0
веселий			1	0
сильні			1	0
песиміст			1	0
сильна			1	0
оптиміст			1	0
оптимісти			1	0
песимістка			1	0
скептики			1	0
скептик			1	0
слабкий			1	0
ідеаліст			1	0
оптимістка			1	0
розумний			1	0
швидко			1	0
читачка			1	0
гарний			1	0
мода			1	0
погана			1	0
режисер			1	0
моді			1	0
смаку			1	0
читачі			1	0
критик			1	0
погані			1	0
смак			1	0
моду			1	0
захід			1	0
південь			1	0
на сході			1	0
тому що			1	0
схід			1	0
на заході			1	0
північ			1	0
на півночі			1	0
грім			1	0
позавчора			1	0
місяць			1	0
хмара			1	0
зірки			1	0
хмари			1	0
веселка			1	0
блискавку			1	0
веселку			1	0
зірка			1	0
блискавка			1	0
одна			1	0
квіти			1	0
лісі			1	0
ростуть			1	0
траві			1	0
квітки			1	0
трава			1	0
траву			1	0
росте			1	0
ліси			1	0
дерево			1	0
дерева			1	0
квітка			1	0
дніпро			1	0
давно			1	0
хлопці			1	0
море			1	0
небі			1	0
гору			1	0
гора			1	0
озері			1	0
озеро			1	0
морі			1	0
річку			1	0
земля			1	0
гори			1	0
річки			1	0
землі			1	0
тепло			1	0
хмарно			1	0
прохолодно			1	0
надто			1	0
мороз			1	0
туман			1	0
погода			1	0
фентезі			1	0
література			1	0
уночі			1	0
поети			1	0
вірші			1	0
романтичні			1	0
романтичний			1	0
казки			1	0
фантастику			1	0
казка			1	0
романтична			1	0
роман			1	0
гумористичні			1	0
оповідання			1	0
дядько			1	0
письменниця			1	0
хор			1	0
композитор			1	0
класична			1	0
гурт			1	0
відомий			1	0
відома			1	0
народна			1	0
джаз			1	0
поп-музику			1	0
рок			1	0
народні			1	0
поп-музика			1	0
художник			1	0
галерея			1	0
фарба			1	0
картина			1	0
фарбу			1	0
галереї			1	0
художники			1	0
малюєте			1	0
виставки			1	0
картини			1	0
малювати			1	0
студія			1	0
про що			1	0
темна			1	0
коротке			1	0
одне			1	0
дружина			1	0
п'ятниця			1	0
субота			1	0
вівторок			1	0
перша			1	0
увечері			1	0
треба			1	0
їм			1	0
овочі			1	0
марафон			1	0
молоком			1	0
окуляри			1	0
щовечора			1	0
повільно			1	0
сюди			1	0
