learnable	normalized	partOfSpeech	source
autour	autour	preposition	Duolingo
autour de	autour de		Duolingo
autre	autre	adjective	Duolingo
autre	autre	pronoun	Duolingo
autre chose	autre chose		Duolingo
autrefois	autrefois	adverb	Duolingo
autrement	autrement	adverb	Duolingo
autres	autres	adjective	Duolingo
autres	autres	pronoun	Duolingo
autriche	autriche	proper noun	Duolingo
aux	aux		Duolingo
aux	aux	preposition	Duolingo
aux toilettes	aux toilettes		Duolingo
auxquelles	auxquelles		Duolingo
auxquels	auxquels		Duolingo
auxquels	auxquels	pronoun	Duolingo
avaient	avaient	verb	Duolingo
avais	avais	verb	Duolingo
avait	avait	verb	Duolingo
avancé	avance	adjective	Duolingo
avance	avance	verb	Duolingo
avancer	avancer	verb	Duolingo
avancez	avancez	verb	Duolingo
avant	avant		Duolingo
avant	avant	adverb	Duolingo
avant	avant	preposition	Duolingo
avant de	avant de		Duolingo
avant qu'	avant qu'		Duolingo
avant que	avant que		Duolingo
avant-hier	avant-hier		Duolingo
avantage	avantage	noun	Duolingo
avantages	avantages	noun	Duolingo
avec	avec		Duolingo
avec	avec	preposition	Duolingo
avec enthousiasme	avec enthousiasme		Duolingo
avec qui	avec qui		Duolingo
avec un peu de chance	avec un peu de chance		Duolingo
avenir	avenir	noun	Duolingo
avez	avez	verb	Duolingo
avez-vous	avez-vous		Duolingo
aviez	aviez	verb	Duolingo
avion	avion	noun	Duolingo
avions	avions	noun	Duolingo
avions	avions	verb	Duolingo
avis	avis	noun	Duolingo
avocat	avocat	noun	Duolingo
avocate	avocate	noun	Duolingo
avoir	avoir	verb	Duolingo
avons	avons	verb	Duolingo
avril	avril	noun	Duolingo
ayant	ayant	verb	Duolingo
ayez	ayez	verb	Duolingo
baby-sitting	baby-sitting		Duolingo
bac	bac	noun	Duolingo
bagages	bagages		Duolingo
bagages	bagages	noun	Duolingo
bague	bague	noun	Duolingo
bagues	bagues	noun	Duolingo
baguette	baguette	noun	Duolingo
baguettes	baguettes	noun	Duolingo
baie	baie	noun	Duolingo
baies	baies	noun	Duolingo
baignoire	baignoire	noun	Duolingo
bain	bain	noun	Duolingo
bains	bains	noun	Duolingo
balcon	balcon	noun	Duolingo
balcons	balcons	noun	Duolingo
baleine	baleine	noun	Duolingo
balle	balle	noun	Duolingo
ballon	ballon	noun	Duolingo
banane	banane	noun	Duolingo
bananes	bananes	noun	Duolingo
bancaire	bancaire	adjective	Duolingo
bancaires	bancaires	adjective	Duolingo
banlieue	banlieue	noun	Duolingo
banque	banque	noun	Duolingo
bar	bar	noun	Duolingo
barbe	barbe	noun	Duolingo
barbecue	barbecue	noun	Duolingo
bas	bas	adjective	Duolingo
bas	bas	adverb	Duolingo
basket	basket	noun	Duolingo
baskets	baskets	noun	Duolingo
bastille	bastille	proper noun	Duolingo
bateau	bateau	noun	Duolingo
bateaux	bateaux	noun	Duolingo
bâtiment	batiment	noun	Duolingo
bâtiments	batiments	noun	Duolingo
batterie	batterie		Duolingo
batterie	batterie	noun	Duolingo
battre	battre	verb	Duolingo
bazar	bazar	noun	Duolingo
beau	beau		Duolingo
beau	beau	adjective	Duolingo
beau	beau	adverb	Duolingo
beau-	beau-		Duolingo
beaucoup	beaucoup		Duolingo
beaucoup	beaucoup	adverb	Duolingo
beaucoup de	beaucoup de		Duolingo
beaucoup de choses	beaucoup de choses		Duolingo
beaucoup de monde	beaucoup de monde		Duolingo
beaucoup trop	beaucoup trop		Duolingo
beauté	beaute	noun	Duolingo
beaux	beaux	adjective	Duolingo
beaux-	beaux-		Duolingo
beaux-parents	beaux-parents	noun	Duolingo
bébé	bebe	noun	Duolingo
bébés	bebes	noun	Duolingo
bel	bel	adjective	Duolingo
belge	belge	adjective	Duolingo
belges	belges	adjective	Duolingo
belgique	belgique	proper noun	Duolingo
belle	belle	adjective	Duolingo
belle-	belle-		Duolingo
belles	belles	adjective	Duolingo
bénéfice	benefice	noun	Duolingo
bénéfices	benefices	noun	Duolingo
bénin	benin	proper noun	Duolingo
berceau	berceau	noun	Duolingo
berlin	berlin	proper noun	Duolingo
besoin	besoin		Duolingo
besoin	besoin	noun	Duolingo
besoin de	besoin de		Duolingo
besoin que	besoin que		Duolingo
bête	bete	adjective	Duolingo
beurre	beurre	noun	Duolingo
bibliothèque	bibliotheque	noun	Duolingo
bibliothèques	bibliotheques	noun	Duolingo
bien	bien		Duolingo
bien	bien	adjective	Duolingo
bien	bien	adverb	Duolingo
bien qu'	bien qu'		Duolingo
bien qu'	bien qu'	conjunction	Duolingo
bien que	bien que		Duolingo
bien que	bien que	conjunction	Duolingo
bien réussi	bien reussi		Duolingo
bien s'entendre	bien s'entendre		Duolingo
bien sûr	bien sur		Duolingo
bientôt	bientot	adverb	Duolingo
bienvenu	bienvenu	adjective	Duolingo
bienvenue	bienvenue	adjective	Duolingo
bienvenue	bienvenue	noun	Duolingo
bière	biere	noun	Duolingo
bières	bieres	noun	Duolingo
bijou	bijou	noun	Duolingo
bijoux	bijoux	noun	Duolingo
billet	billet	noun	Duolingo
billet d'avion	billet d'avion		Duolingo
billets	billets		Duolingo
billets	billets	noun	Duolingo
bio	bio	adjective	Duolingo
biologie	biologie	noun	Duolingo
biscuits	biscuits	noun	Duolingo
bizarre	bizarre	adjective	Duolingo
bizarres	bizarres	adjective	Duolingo
blanc	blanc	adjective	Duolingo
blanche	blanche	adjective	Duolingo
blanches	blanches	adjective	Duolingo
blancs	blancs	adjective	Duolingo
blancs	blancs	noun	Duolingo
blessé	blesse	noun	Duolingo
blessée	blessee	noun	Duolingo
blessés	blesses	noun	Duolingo
blessure	blessure	noun	Duolingo
blessures	blessures	noun	Duolingo
bleu	bleu	adjective	Duolingo
bleu clair	bleu clair		Duolingo
bleu foncé	bleu fonce		Duolingo
bleue	bleue	adjective	Duolingo
bleues	bleues	adjective	Duolingo
bleus	bleus	adjective	Duolingo
blonde	blonde	adjective	Duolingo
blondes	blondes	adjective	Duolingo
blonds	blonds	adjective	Duolingo
bœuf	boeuf	noun	Duolingo
boirai	boirai	verb	Duolingo
boire	boire	verb	Duolingo
bois	bois		Duolingo
bois	bois	noun	Duolingo
bois	bois	verb	Duolingo
boisson	boisson	noun	Duolingo
boissons	boissons	noun	Duolingo
boit	boit	verb	Duolingo
boîte	boite	noun	Duolingo
boîtes	boites	noun	Duolingo
boivent	boivent	verb	Duolingo
bol	bol	noun	Duolingo
bols	bols	noun	Duolingo
bon	bon		Duolingo
bon	bon	adjective	Duolingo
bon courage	bon courage		Duolingo
bon marché	bon marche		Duolingo
bon voyage	bon voyage		Duolingo
bonbon	bonbon	noun	Duolingo
bonbons	bonbons	noun	Duolingo
bondée	bondee	adjective	Duolingo
bonheur	bonheur	noun	Duolingo
bonjour	bonjour	interjection	Duolingo
bonne	bonne		Duolingo
bonne	bonne	adjective	Duolingo
bonne continuation	bonne continuation		Duolingo
bonne journée	bonne journee		Duolingo
bonne nuit	bonne nuit		Duolingo
bonne soirée	bonne soiree		Duolingo
bonnes	bonnes	adjective	Duolingo
bons	bons	adjective	Duolingo
bord	bord	noun	Duolingo
bordeaux	bordeaux	proper noun	Duolingo
botte	botte	noun	Duolingo
bottes	bottes	noun	Duolingo
bouche	bouche	noun	Duolingo
bouclé	boucle	adjective	Duolingo
bouclés	boucles	adjective	Duolingo
boucles	boucles	noun	Duolingo
boue	boue	noun	Duolingo
bouger	bouger	verb	Duolingo
bougie	bougie	noun	Duolingo
bougies	bougies	noun	Duolingo
bouillir	bouillir	verb	Duolingo
boulanger	boulanger	noun	Duolingo
boulangère	boulangere	noun	Duolingo
boulangerie	boulangerie	noun	Duolingo
boulangeries	boulangeries	noun	Duolingo
boulot	boulot	noun	Duolingo
bourgogne	bourgogne	proper noun	Duolingo
bourse	bourse	noun	Duolingo
bouteille	bouteille	noun	Duolingo
bouteilles	bouteilles	noun	Duolingo
boutique	boutique	noun	Duolingo
branche	branche	verb	Duolingo
bras	bras	noun	Duolingo
bravo	bravo	interjection	Duolingo
bref	bref	adverb	Duolingo
brésil	bresil	proper noun	Duolingo
brésilien	bresilien	adjective	Duolingo
bretagne	bretagne	proper noun	Duolingo
bricolage	bricolage	noun	Duolingo
brillant	brillant	adjective	Duolingo
brillante	brillante	adjective	Duolingo
brioche	brioche	noun	Duolingo
bronze	bronze	verb	Duolingo
brosse	brosse	noun	Duolingo
brosse	brosse	verb	Duolingo
brosse à dents	brosse a dents		Duolingo
brosser	brosser	verb	Duolingo
brosses	brosses	verb	Duolingo
brouillard	brouillard	noun	Duolingo
bruit	bruit	noun	Duolingo
bruits	bruits	noun	Duolingo
brûlé	brule	verb	Duolingo
brûler	bruler	verb	Duolingo
brun	brun	adjective	Duolingo
brune	brune	adjective	Duolingo
bruxelles	bruxelles	proper noun	Duolingo
bruyamment	bruyamment	adverb	Duolingo
bruyant	bruyant	adjective	Duolingo
bruyante	bruyante	adjective	Duolingo
bruyantes	bruyantes	adjective	Duolingo
bu	bu	verb	Duolingo
budget	budget	noun	Duolingo
bureau	bureau		Duolingo
bureau	bureau	noun	Duolingo
bureau de change	bureau de change		Duolingo
bureau de poste	bureau de poste		Duolingo
bureaux	bureaux	noun	Duolingo
bus	bus	noun	Duolingo
but	but	noun	Duolingo
buvant	buvant	verb	Duolingo
buvez	buvez	verb	Duolingo
buvons	buvons	verb	Duolingo
c'	c'	pronoun	Duolingo
c'est	c'est		Duolingo
c'est bien	c'est bien		Duolingo
c'est bon	c'est bon		Duolingo
c'est l'histoire	c'est l'histoire		Duolingo
c'est le	c'est le		Duolingo
c'est ma	c'est ma		Duolingo
c'est mon	c'est mon		Duolingo
c'est nul	c'est nul		Duolingo
c'est un	c'est un		Duolingo
c'est une	c'est une		Duolingo
c'est-à-dire	c'est-a-dire		Duolingo
c'était	c'etait		Duolingo
ça	ca	pronoun	Duolingo
ça a l'air	ca a l'air		Duolingo
ça fait	ca fait		Duolingo
ça te dit	ca te dit		Duolingo
ça va	ca va		Duolingo
ça va bien	ca va bien		Duolingo
ça vous dit	ca vous dit		Duolingo
ça y est	ca y est		Duolingo
cabine d'essayage	cabine d'essayage		Duolingo
cache	cache	verb	Duolingo
cacher	cacher	verb	Duolingo
caches	caches	verb	Duolingo
cadeau	cadeau	noun	Duolingo
cadeaux	cadeaux	noun	Duolingo
cadre	cadre	noun	Duolingo
cadres	cadres	noun	Duolingo
café	cafe		Duolingo
café	cafe	noun	Duolingo
café au lait	cafe au lait		Duolingo
cafés	cafes	noun	Duolingo
cafétéria	cafeteria	noun	Duolingo
cahier	cahier	noun	Duolingo
cahier d'activités	cahier d'activites		Duolingo
cahiers	cahiers	noun	Duolingo
caisse	caisse	noun	Duolingo
caisses	caisses	noun	Duolingo
calcul	calcul	noun	Duolingo
calculs	calculs	noun	Duolingo
calédonie	caledonie	proper noun	Duolingo
